"BROJ","NASLOV","TIP","AA_NOMINACIJE","AA_NAGRADE","GODINA","KRITIKA","REZISER","BROJ_DISKOVA"
1,"Alexander The Great","historical","","",1980,"",1,1
2,"Amarcord","fantasy","","",1973,"",2,1
3,"You only love once","drama","","",1980,"",42,1
4,"Who is that singing over there?","comedy","","",1980,"",41,1
5,"A generation","drama","","",1954,"",18,1
6,"Innocent corcerers","comedy","","",1960,"",18,1
7,"Siberian Lady Macbeth","drama","","",1962,"",18,1
8,"The young ladies of Wilko","drama","","",1979,"",18,1
9,"The conductor","drama","","",1979,"",18,1
10,"Kanal","drama","","",1957,"",18,1
11,"When father was away on business","drama","","",1985,"",21,1
12,"Do you remember Dolly Bell","drama","","",1981,"",21,1
13,"Two or three things I know about","drama","","",1966,"",38,1
14,"Weekend","drama","","",1967,"",38,1
15,"Masculine-Feminine","drama","","",1966,"",38,1
16,"Masques","thriller","","",1987,"",15,1
18,"Peter and Pavla","comedy","","",1964,"",16,1
19,"La Rupture","thriller","","",1970,"",15,1
20,"Les Biches","drama","","",1968,"",15,1
21,"Annie Hall","comedy",5,4,1977,"4",3,1
22,"Dr Strangelove","comedy",4,"",1964,"4",7,1
23,"Clockwork orange","sci fi",3,"",1971,"4",7,1
24,"North by Northwest","suspen",1,"",1959,"4",4,1
25,"Rope","suspen","","",1948,"3",4,1
26,"Psycho","horror","","",1960,"4",4,1
27,"Interiors","drama",3,"",1978,"3",3,1
28,"The birds","horror","","",1963,"3",4,1
29,"Samson and Delilah","religious",1,"",1949,"2",5,1
30,"Guess who is coming to dinner","comedy",6,2,1967,"3",6,1
31,"Manhattan","comedy",2,"",1979,"4",3,1
32,"Vertigo","suspen","","",1958,"4",4,1
33,"Judgement at Nuremberg","drama",6,2,1961,"3",6,1
34,"2001","sci fi",2,"",1968,"4",7,1
35,"The man with the golden arm","drama",1,"",1955,"3",8,1
36,"Anatomy of a murder","suspen",4,"",1959,"4",8,1
37,"Inherit the wind","drama",2,"",1960,"4",6,1
38,"Laura","suspen",3,1,1944,"4",8,1
39,"The ten commandments","religious",1,"",1956,"3",8,1
40,"The moon is blue","comedy",1,"",1953,"2",9,1
41,"Stagecoach","western",3,1,1939,"4",9,1
42,"Rear window","suspen",1,"",1954,"4",4,1
43,"Mogambo","western",2,"",1953,"3",9,1
44,"Grapes of Wrath","drama",4,2,1940,"4",9,1
45,"The white sheik","satire","","",1952,"",2,1
46,"La Strada","drama","",1,1954,"",2,1
47,"The swindlers","drama","","",1955,"",2,1
48,"The switchboard operator","drama","","",1967,"",30,1
49,"Innocence unprotected","documentary","","",1968,"",30,1
50,"Man is not a bird","drama","","",1965,"",30,1
51,"WR - mysteries of the organism","documentary","","",1971,"",30,1
52,"The American soldier","drama","","",1970,"",10,1
53,"Andrei Rublev","drama","","",1966,"",11,1
54,"Anna Boleyn","historical","","",1920,"",12,1
55,"Anne and Muriel","drama","","",1971,"",20,1
56,"Anna Karenina","drama","","",1967,"",13,1
57,"The beauty and the beast","drama","","",1983,"",14,1
58,"Monsieur Hulots holiday","comedy","","",1953,"",34,1
59,"Playtime","comedy","","",1967,"",34,1
60,"I Vitelloni","drama","","",1953,"",2,1
61,"Nights of Cabiria","drama","","",1956,"",2,1
62,"Orchestra rehearsal","drama","","",1978,"",2,1
63,"A blonde in love","drama",1,"",1965,"",16,1
64,"The chat","drama","","",1971,"",17,1
65,"The cow and I","comedy","","",1959,"",19,1
66,"Day for night","drama","","",1973,"",20,1
67,"A private conversation","drama","","",1983,"",43,1
68,"Second chance","drama","","",1976,"",44,1
69,"Partner","drama","","",1968,"",45,1
70,"The tragedy of a ridiculous man","drama","","",1981,"",45,1
71,"Fitzcarraldo","drama","","",1982,"",22,1
72,"Forbidden games","drama","","",1952,"",23,1
73,"The fragrance of wild flowers","drama","","",1977,"",24,1
74,"The French Cancan","drama","","",1955,"",25,1
75,"Frida","drama","","",1984,"",26,1
76,"A funny dirty little war","comedy","","",1983,"",27,1
77,"Gate of hell","historical","","",1953,"",28,1
78,"Happy Gypsies","drama","","",1967,"",29,1
79,"Special treatment","drama","","",1980,"",40,1
80,"A man and a woman","melodrama","","",1966,"",44,1
81,"A man and a woman: twenty years later","melodrama","","",1986,"",44,1
82,"Killer!","thriller","","",1969,"",15,1
83,"La ligne de demarcation","drama","","",1966,"",15,1
84,"Lili Marlen","melodrama","","",1980,"",10,1
85,"The lower depths","drama","","",1957,"",31,1
86,"A quiet duel","melodrama","","",1949,"",31,1
87,"Rashomon","drama","","",1950,"",31,1
88,"Red beard","drama","","",1965,"",31,1
89,"Seven samurai","drama","","",1954,"",31,1
90,"Stray dog","drama","","",1949,"",31,1
91,"Throne of blood","drama","","",1957,"",31,1
92,"Yojimbo","drama","","",1961,"",31,1
93,"Katzelmacher","drama","","",1969,"",10,1
94,"Lola","drama","","",1981,"",10,1
95,"Scandal","drama","","",1950,"",31,1
96,"Satans brew","drama","","",1976,"",10,1
97,"Signs of life","drama","","",1968,"",22,1
98,"Stroszek","drama","","",1977,"",22,1
99,"Woyzeck","drama","","",1978,"",22,1
100,"Kagemusha","drama","","",1980,"",31,1
101,"Morning","drama","","",1967,"",32,1
102,"My sweet little village","comedy","","",1985,"",33,1
103,"Closely observed trains","drama","",1,1966,"",33,1
104,"My uncle","comedy","",1,1958,"",34,1
105,"The occupation in 26 pictures","drama","","",1978,"",35,1
106,"Les parents terribles","drama","","",1948,"",36,1
107,"Jaws","horror","","",1977,"",37,1
109,"Last tango in Paris","drama","","",1972,"",45,1
110,"Star Wars","sci fi","","",1977,"",51,1
111,"American Graffiti","drama","","",1973,"",51,1
112,"A bridge too far","drama","","",1977,"",46,1
113,"Kramer v Kramer","drama","","",1979,"",52,1
114,"The deer hunter","drama","","",1978,"",49,1
115,"The great Getsby","drama","","",1974,"",53,1
116,"The godfather","drama","","",1972,"",47,1
117,"French Lieuts woman","drama","","",1981,"",54,1
118,"All the Presidents man","drama","","",1976,"",55,1
119,"Superman","fiction","","",1978,"",50,1
120,"Marathon man","drama","","",1976,"",48,1
121,"The time of the gypsies","drama","","",1989,"",21,1
122,"Arizona dream","drama","","",1993,"",21,1
123,"Underground","drama","","",1995,"",21,1
124,"Black cat white cat","drama","","",1999,"",21,1
125,"Women on the verge of a nervous breakdown","drama","","",1988,"",56,1
126,"All about my mother","drama","","",1999,"",56,1
127,"Kika","drama","","",1994,"",56,1
128,"Matador","drama","","",1986,"",56,1
129,"High heels","drama","","",1991,"",56,1
108,"Raiders of the lost ark","fiction","","",1981,"",37,1
