"IME","PREZIME","BROJ","GODINA_ROD","GODINA_SM","MESTO_ROD"
"Omero","Antonutti",1,"","",""
"Eva","Kotamanidu",2,"","",""
"Puppela","Maggio",3,"","",""
"Tadeusz","Lomnicki",6,"","",""
"Urszula","Modrzynska",7,"","",""
"Krystyna","Stypulkowska",8,"","",""
"Roman","Polanski",9,"","",""
"Olivera","Markovic",10,"","",""
"Ljuba","Tadic",11,"","",""
"Daniel","Olbrychski",12,"","",""
"John","Gielgud",13,"","",""
"Emil","Kariewicz",14,"","",""
"Manolo","De Bartoli",15,"","",""
"Miki","Manojlovic",16,"","",""
"Mirjana","Karanovic",17,"","",""
"Mustafa","Nadarevic",18,"","",""
"Slavko","Stimac",19,"","",""
"Ljiljana","Blagojevic",20,"","",""
"Slobodan","Aligrudic",21,"","",""
"Borislav","Stjepanovic",22,"","",""
"Mira","Banjac",23,"","",""
"Allen","Woody",24,1935,"","New York"
"Diane","Keaton",25,1946,"","Los Angeles"
"Peter","Seller",26,1925,1980,"Southsea"
"George","Scott",27,1927,"","Wise"
"Malcolm","McDowell",28,1943,"","Leeds"
"Cary","Grant",29,1904,1986,"Bristol"
"Eva Marie","Saint",30,1929,"","Newark"
"James","Stewart",31,1908,"","Indiana"
"Anthony","Perkins",32,1932,"","New York"
"Janet","Leigh",33,1927,"","Mersed"
"Rod","Taylor",34,1930,"","Sydney"
"Tippi","Hedren",35,1935,"","Lafayette"
"Victor","Mature",36,1916,"","Louisville"
"Spencer","Tracy",37,1900,1967,"Milwaukee"
"Katherine","Hepburn",38,1909,"","Hartford"
"Keir","Dullea",39,1939,"","Cleveland"
"Kim","Novak",40,1933,"","Chicago"
"Frank","Sinatra",41,1915,"","Hoboken"
"Frederic","March",42,1897,1975,"Racine"
"Dana","Andrews",43,1912,"","Collins"
"Charlton","Heston",44,1923,"","Evanston"
"Maggie","McNamara",45,1928,1978,"New York"
"David","Niven",46,1910,1983,"Kirriemuir"
"John","Wayne",47,1907,1979,"Winterset"
"Clark","Gable",48,1901,1960,"Cadiz"
"Grace","Kelly",49,1929,1982,"Philadelphia"
"Henry","Fonda",50,1905,1982,"Great Island"
"Marina","Vlady",51,"","",""
"Roger","Montsoret",52,"","",""
"Mireille","Darc",53,"","",""
"Jean","Yanne",54,"","",""
"Jean-Pierre","Leaud",55,1944,"","Paris"
"Chantal","Goya",56,"","",""
"Robert","Renucci",57,"","",""
"Phillipe","Noiret",58,"","",""
"Ugo","Tognazzi",59,"","",""
"Mimsy","Farmer",60,"","",""
"Alain","Cuny",61,"","",""
"Ladislav","Jakim",62,"","",""
"Jan","Ostrcil",63,"","",""
"Pavla","Martinkova",64,"","",""
"Jean-Claude","Drout",65,"","",""
"Stephane","Audran",66,"","",""
"Jean-Pierre","Cassel",67,"","",""
"Jean-Louis","Trintignant",68,"","",""
"Jacqueline","Sassard",69,"","",""
"Giulietta","Masina",70,"","",""
"Alberto","Sordi",71,"","",""
"Brunella","Bovo",72,"","",""
"Anthony","Quinn",73,"","",""
"Richard","Basehart",74,"","",""
"Broderick","Crawford",75,"","",""
"Eva","Ras",76,"","",""
"Miodrag","Andric",77,"","",""
"Milena","Dravic",78,"","",""
"Janez","Vrhovec",79,"","",""
"Boris","Dvornik",80,"","",""
"Karl","Scheydt",81,"","",""
"Emil","Jannings",82,1884,1950,"Rorschach"
"Henny","Porten",83,"","",""
"Aud Egede","Nissen",84,"","",""
"Kika","Markham",85,"","",""
"Sylvia","Marriot",86,"","",""
"Tatiana","Samoilova",87,"","",""
"Nikolai","Gritzenko",88,"","",""
"Vassily","Lanovoi",89,"","",""
"Line Arlien","Soborg",90,"","",""
"Jesper","Klein",91,"","",""
"Jacques","Tati",92,"","",""
"Franco","Fabrizi",93,"","",""
"Riccardo","Fallini",94,"","",""
"Franco","Interlenghi",95,"","",""
"Balduin","Baas",96,"","",""
"Hana","Brejhcova",97,"","",""
"Vladimir","Pucholt",98,"","",""
"Jean","Gabin",99,1904,1976,"Meriel"
"Simone","Signoret",100,"","",""
"Jacqueline","Bisset",102,"","",""
"Catherine","Deneuve",103,1943,"","Paris"
"Jean-Jacques","Briot",104,"","",""
"Pierre","Clementi",105,"","",""
"Stefania","Sandrelli",106,"","",""
"Klaus","Kinski",107,"","",""
"Olga","Spiridonovic",108,"","",""
"Nemanja","Zivic",109,"","",""
"Ofelia","Medina",110,"","",""
"Federico","Luppi",111,"","",""
"Machiko","Kyo",112,1924,"","Osaka"
"Kazuo","Hasegawa",113,"","",""
"Bekim","Fehmiu",114,"","",""
"Olivera","Vuco",115,"","",""
"Gordana","Jovanovic",116,"","",""
"Anouk","Aimee",117,1932,"","Paris"
"Michel","Duchaussoy",118,"","",""
"Caroline","Cellier",119,"","",""
"Hanna","Schygulla",120,"","",""
"Giancarlo","Giannini",121,"","",""
"Toshiro","Mifune",122,"","",""
"Takashi","Shimura",123,"","",""
"Miki","Sanjo",124,"","",""
"Masayaki","Mori",125,"","",""
"Machiko","Kyo",126,"","",""
"Minoru","Chiaki",127,"","",""
"Yuzo","Kayama",128,"","",""
"Ko","Kimura",129,"","",""
"Isuzu","Yamada",130,"","",""
"Chieko","Namira",131,"","",""
"Rainer Werner","Fassbinder",132,"","",""
"Barbara","Sukowa",133,"","",""
"Armin","Muller-Stahl",134,"","",""
"Mario","Adorf",135,"","",""
"Yoshiko","Yamaguchi",136,"","",""
"Kurt","Raab",137,"","",""
"Peter","Brogle",138,"","",""
"Clemens","Scheitz",139,"","",""
"Eva","Mates",140,"","",""
"Josef","Bierbichler",141,"","",""
"Tatsuya","Nakadai",142,"","",""
"Jean","Marais",143,"","",""
"Josette","Day",144,"","",""
"Yvonne","De Bray",145,"","",""
"Marcel","Andre",146,"","",""
"Marlon","Brando",147,1924,"",""
"Harrison","Ford",148,1942,"",""
"Dustin","Hoffman",149,1937,"",""
"Robert","Redford",150,1927,"",""
"Maryl","Streep",151,1949,"",""
"Joseph","Fernandel",101,"","",""
