"BROJ","IME","PREZIME","GODINA_ROD","GODINA_SM"
1,"Theo","Angelopoulos",1935,""
2,"Federico","Fellini",1920,1993
3,"Allen","Woody",1935,""
4,"Alfred","Hitchcock",1899,1980
5,"Cecil","De Mille",1881,1959
6,"Stanley","Kramer",1913,""
7,"Stanley","Kubrick",1928,""
8,"Otto","Preminger",1906,""
9,"John","Ford",1895,1973
10,"Rainer Werner","Fassbinder",1945,1982
11,"Andrei","Tarkovsky",1932,1986
12,"Ernst","Lubitsch",1892,1947
13,"Alexander","Zarkhi","",""
14,"Nils","Malmros","",""
15,"Claude","Chabrol",1930,""
16,"Milos","Forman",1932,""
17,"Pierre","Granier-Deferre","",""
18,"Andrzej","Wajda",1926,""
19,"Henri","Verneuil","",""
20,"Francois","Truffaut",1932,1984
21,"Emir","Kusturica",1954,""
22,"Werner","Herzog",1942,""
23,"Rene","Clement","",""
24,"Srdjan","Karanovic","",""
25,"Jean","Renoir",1894,1979
26,"Paul","Leduc","",""
27,"Hector","Olivera","",""
28,"Teinosuke","Kinugasa","",""
29,"Aleksandar","Petrovic","",""
30,"Dusan","Makavejev",1932,""
31,"Akira","Kurosawa",1910,1998
32,"Purisa","Djordjevic","",""
33,"Jiri","Menzel",1938,""
34,"Jacques","Tati",1908,1982
35,"Lordan","Zafranovic",1944,""
36,"Jean","Cocteau",1889,1963
37,"Steven","Spielberg",1946,""
38,"Jean-Luc","Godard",1930,""
39,"Roberto","Rossellini",1906,1977
40,"Goran","Paskaljevic","",""
41,"Slobodan","Sijan","",""
42,"Rajko","Grlic","",""
43,"Nikita","Mikhalkov",1945,""
44,"Claude","Lelouch","",""
45,"Bernardo","Bertolucci",1940,""
46,"David","Attenborough","",""
47,"Francis Ford","Coppola",1939,""
48,"null","Schlessinger","",""
49,"Al","Cimino","",""
50,"Jorn","Donner",1933,""
51,"George","Lucas","",""
52,"null","Benton","",""
53,"null","Clayton","",""
54,"Karel","Reisz","",""
55,"Alan","Pakula",1928,1998
56,"Pedro","Almodovar",1951,""
